
="",="",="",="(0.38)",=""

="54.statefip",="",="",="-1.224***",=""
="",="",="",="(-6.90)",=""

="2.statefip",="",="",="",="0"
="",="",="",="",="(.)"

="4.statefip",="",="",="",="3.692***"
="",="",="",="",="(17.04)"

="6.statefip",="",="",="",="4.962***"
="",="",="",="",="(16.91)"

="8.statefip",="",="",="",="3.678***"
="",="",="",="",="(15.92)"

="15.statefip",="",="",="",="5.557***"
="",="",="",="",="(13.39)"

="16.statefip",="",="",="",="3.220***"
="",="",="",="",="(10.14)"

="30.statefip",="",="",="",="1.511***"
="",="",="",="",="(5.43)"

="32.statefip",="",="",="",="4.052***"
="",="",="",="",="(12.03)"

="35.statefip",="",="",="",="3.218***"
="",="",="",="",="(14.41)"

="41.statefip",="",="",="",="3.654***"
="",="",="",="",="(20.96)"

="49.statefip",="",="",="",="5.281***"
="",="",="",="",="(16.46)"

="53.statefip",="",="",="",="2.739***"
="",="",="",="",="(14.46)"

="56.statefip",="",="",="",="1.644***"
="",="",="",="",="(5.63)"

="_cons",="26.96***",="19.57***",="27.59***",="22.03***"
="",="(19.96)",="(7.15)",="(15.42)",="(14.86)"

="N",="1663",="1286",="3383",="2483"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
